##name	Roget II: the new thesaurus
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp22
##bgl_sourceCharset	cp22
##bgl_targetCharset	cp22
##bgl_defaultEncoding	cp22
##bgl_sourceEncoding	utf
##bgl_targetEncoding	utf
##sourceCharset	UTF-8
##targetCharset	UTF-8
##caseSensitive	
##spellingAlternatives	
##utfEncoding	
##bgl_lastUpdated	21/0/1, 2:0
##bgl_middleUpdated	21/0/1, 2:0
##author	Ebrahim Mehri
##email	ebrahim.mehri@gmail.com
##browsingEnabled	
##bgl_creationTime	21/0/1, 1:4
##description	
redolent	pos: adjective Having a pleasant odor: aromatic, fragrant. 
redouble	pos: verb 1. To make or become twice as great: double, duplicate, geminate, twin. 2. To make greater in intensity or severity: aggravate, deepen, enhance, heighten, intensify. 
redoubtable	pos: adjective 1. Causing or able to cause fear: appalling, dire, direful, dreadful, fearful, fearsome, formidable, frightful, ghastly, scary, terrible, tremendous. 2. Widely known and esteemed: celebrated, distinguished, eminent, famed, famous, great, illustrious, notable, noted, preeminent, prestigious, prominent, renowned. 
redress	pos: verb 1. To make right what is wrong: amend, correct, emend, mend, rectify, reform, remedy, right. 2. To exact revenge for or from: avenge, pay back, pay off, repay, requite, vindicate.  fix.  wreak.  even the score, get back at, get even with, pay back in kind ( in one's own coin), settle ( square) accounts, take an eye for an eye. 3. To give compensation to: compensate, indemnify, pay, recompense, reimburse, remunerate, repay, requite. pos: noun Something to make up for loss or damage: amends, compensation, indemnification, indemnity, offset, quittance, recompense, reimbursement, remuneration, reparation, repayment, requital, restitution, satisfaction, setoff. 
reduce	pos: verb 1. To grow or cause to grow gradually less: abate, decrease, diminish, drain, dwindle, ebb, lessen, let up, peter (out), rebate, tail away ( off), taper (off). 2. To make short or shorter the duration or extent of: abbreviate, abridge, condense, curtail, shorten. 3. To lower in rank or grade: break, bump, degrade, demote, downgrade.  bust. 4. To become or make less in price or value: cheapen, depreciate, depress, devaluate, devalue, downgrade, lower, mark down, write down. 5. To lose body weight, as by dieting: slim (down), trim down. 
reduction	pos: noun 1. The act or process of decreasing: abatement, curtailment, cut, cutback, decrease, decrement, diminishment, diminution, drain, slash, slowdown, taper. 2. The act or an instance of demoting: degradation, demotion. 3. A lowering in price or value: depreciation, devaluation, markdown, writedown. 4. An amount deducted: abatement, deduction, discount, rebate. 
redundancy	pos: noun Words or the use of words in excess of those needed for clarity or precision: diffuseness, diffusion, long-windedness, pleonasm, prolixity, verbiage, verboseness, verbosity, windiness, wordage, wordiness. 
redundant	pos: adjective Using or containing an excessive number of words: diffuse, long-winded, periphrastic, pleonastic, prolix, verbose, wordy. 
reduplication	pos: noun Something closely resembling another: carbon copy, copy, duplicate, facsimile, image, likeness, replica, replication, reproduction, simulacrum.  simulacre.  counterpart. 
reecho	pos: verb To send back the sound of: echo, rebound, reflect, repeat, resound, reverberate. 
reek	pos: verb To have or give off a foul odor: smell, stink.  smell to high heaven. 
reeky	pos: adjective Having an unpleasant odor: fetid, foul, foul-smelling, malodorous, mephitic, noisome, stinking.  smelly. 
reel	pos: verb 1. To walk unsteadily: falter, lurch, stagger, stumble, teeter, totter, weave, wobble. 2. To have the sensation of turning in circles: spin, swim, swirl, whirl. 
reeling	pos: adjective Having a sensation of whirling or falling: dizzy, giddy, lightheaded, vertiginous, woozy. 
reestablish	pos: verb To bring back into existence or use: reinstate, reintroduce, renew, restore, return, revive. 
reevaluate	pos: verb To consider again, especially with the possibility of change: reconsider, reexamine, rethink, review. 
reexamine	pos: verb To consider again, especially with the possibility of change: reconsider, reevaluate, rethink, review. 
ref	pos: noun  A person, usually appointed, who decides the issues or results, or supervises the conduct, of a competition or conflict: arbiter, arbitrator, judge, referee, umpire.  ump. 
refer	pos: verb 1. To direct (a person) elsewhere for help or information: send, transfer, turn over. 2. To regard as belonging to or resulting from another: accredit, ascribe, assign, attribute, charge, credit, impute, lay. 3. To call or direct attention to something: advert, bring up, mention, point, point out, touch (on  upon). 4. To be pertinent: appertain, apply, bear on ( upon), concern, pertain, relate.  have a bearing on, have to do with. 5. To look to when in need: apply, go, repair, resort, run, turn.  fall back on ( upon), have recourse to. 
referee	pos: noun A person, usually appointed, who decides the issues or results, or supervises the conduct, of a competition or conflict: arbiter, arbitrator, judge, umpire.  ref, ump. pos: verb To make a decision about (a controversy or dispute, for example) after deliberation, as in a court of law: adjudge, adjudicate, arbitrate, decide, decree, determine, judge, rule, umpire. 
reference	pos: noun A statement attesting to personal qualifications, character, and dependability: character, recommendation, testimonial. 
refine	pos: verb  To make or become clear by the removal of impurities: clarify, clean, cleanse, purify. 2. To bring to perfection or completion: perfect, polish, smooth.  smooth off the rough edges. 
refined	pos: adjective 1. Characterized by discriminating taste and broad knowledge as a result of development or education: civilized, cultivated, cultured, educated, polished, urbane, well-bred. 2. So slight as to be difficult to notice or appreciate: delicate, fine, finespun, nice, subtle. 
refinement	pos: noun 1. The act or process of removing physical impurities: clarification, purification. 2. High style in quality, manner, or dress: quality.  class. 3. Enlightenment and excellent taste resulting from intellectual development: civilization, cultivation, culture. 4. The ability to distinguish, especially to recognize small differences or draw fine distinctions: discrimination, selectiveness, selectivity. 
refiner	pos: noun Something that purifies or cleans: clarifier, cleaner, cleanser, purifier, refinery. 
refinery	pos: noun Something that purifies or cleans: clarifier, cleaner, cleanser, purifier, refiner. 
refining	pos: adjective Promoting culture: civilizing, cultural, edifying, enlightening, humanizing. 
reflect	pos: verb 1. To send back the sound of: echo, rebound, reecho, repeat, resound, reverberate. 2. To send back or form an image of: image, mirror. 3. To copy (another) slavishly: echo, image, imitate, mimic, mirror, parrot, repeat. 4. To think or think about carefully and at length: chew on ( over), cogitate, consider, contemplate, deliberate, entertain, excogitate, meditate, mull, muse, ponder, revolve, ruminate, study, think, think out, think over, think through, turn over, weigh.  cudgel one's brains, put on one's thinking cap, rack one's brain. 5. To use the powers of the mind, as in conceiving ideas, drawing inferences, and making judgments: cerebrate, cogitate, deliberate, ratiocinate, speculate, think.  put on one's thinking cap, use one's head. 
reflection	pos: noun 1. Something that is reflected: image. 2. Imitative reproduction, as of the style of another: echo, imitation, reflex, repetition. 3. The act or process of thinking: brainwork, cerebration, cogitation, contemplation, deliberation, excogitation, meditation, rumination, speculation, thought. 4. An implied criticism: reproach, slur. 
reflective	pos: adjective Of, characterized by, or disposed to thought: cogitative, contemplative, deliberative, excogi-tative, meditative, pensive, ruminative, speculative, thinking, thoughtful.  in a brown study. 
reflex	pos: adjective Acting or happening without apparent forethought, prompting, or planning: automatic, impulsive, instinctive, involuntary, spontaneous, unpremeditated. pos: noun Imitative reproduction, as of the style of another: echo, imitation, reflection, repetition. 
reform	pos: verb To make right what is wrong: amend, correct, emend, mend, rectify, redress, remedy, right. 
reformative	pos: adjective Tending to correct: amendatory, corrective, emendatory, reformatory, remedial. 
reformatory	pos: adjective Tending to correct: amendatory, corrective, emendatory, reformative, remedial. 
refract	pos: verb To cause to move, especially at an angle: angle, bend, deflect, turn. 
refractoriness	pos: noun The quality or condition of being unruly: disorderliness, fractiousness, indocility, intractability, intractableness, obstinacy, obsti-nateness, obstreperousness, recalcitrance, recalcitrancy, uncontrollability, uncontrollableness, ungovernableness, unmanageability, unruliness, untowardness, wildness. 
refractory	pos: adjective Not submitting to discipline or control: disorderly, fractious, indocile, intractable, lawless, obstinate, obstreperous, recalcitrant, uncontrollable, undisciplined, ungovernable, unmanageable, unruly, untoward, wild.  out of line. 
refrain	pos: verb To hold oneself back: abstain, forbear, hold off, keep, withhold. 
refresh	pos: verb 1. To impart renewed energy and strength to (a person): freshen, reinvigorate, rejuvenate, renew, restore, revitalize, revivify. 2. To make new or as if new again: furbish, recondition, re-create, refurbish, rejuvenate, renew, renovate, restore, revamp.  give a new look to. 
refreshing	pos: adjective Producing or stimulating physical, mental, or emotional vigor: bracing, energizing, exhila-rant, exhilarating, innerving, intoxicating, invigorating, reinvigorating, renewing, restorative, roborant, stimulating, tonic. 
refuge	pos: noun state of being protected or safeguarded, as from danger or hardship: asylum, harborage, sanctuary, shelter. 2. Something that physically protects, especially from danger: asylum, cover, covert, harbor, haven, protection, retreat, sanctuary, shelter. 3. That to which one turns for help when in desperation: recourse, resort, resource. 
refugee	pos: noun One who flees, as from home, confinement, captivity, or justice: escapee, fugitive, runaway. 
refulgent	pos: adjective Giving off or reflecting light readily or in large amounts: beamy, bright, brilliant, effulgent, incandescent, irradiant, lambent, lucent, luminous, lustrous, radiant, shiny. 
refund	pos: verb To give back, especially money: reimburse, repay, restitute. 
refurbish	pos: verb To make new or as if new again: furbish, recondition, re-create, refresh, rejuvenate, renew, renovate, restore, revamp.  give a new look to. 
refurbishment	pos: noun The act of making new or as if new again: face-lift, facelifting, rejuvenation, renewal, renovation, restoration, revampment. 
refusal	pos: noun 1. A negative response: nay, no, rejection. 2. A turning down of a request: denial, disallowance, rejection, turndown. 
refuse	pos: verb 1. To be unwilling to accept, consider, or receive: decline, dismiss, reject, spurn, turn down.  nix.  turn thumbs down on. 2. To be unwilling to grant: deny, disallow, turn down, withhold. 
refute	pos: verb To prove or show to be false: belie, confute, discredit, disprove, rebut. 
regain	pos: verb To get back: recoup, recover, repossess, retrieve. 
regal	pos: adjective Large and impressive in size, scope, or extent: august, baronial, grand, grandiose, imposing, lordly, magnific, magnificent, majestic, noble, princely, royal, splendid, stately, sublime, superb. 
regale	pos: verb To occupy in an agreeable or pleasing way: amuse, divert, entertain, recreate. 
regalia	pos: noun Showy and elaborate clothing or apparel: array, attire, finery, frippery. 
regard	pos: verb 1. To look at or on attentively or carefully: eye, observe, scrutinize, survey, watch.  have one's ( keep an) eye on, keep tabs on. 2. To look upon in a particular way: account, consider, deem, esteem, reckon, see, view. 3. To have a high opinion of: admire, consider, esteem, honor, respect, value.  look up to, think highly (or much  well) of. pos: noun 1. An act of directing the eyes on an object: contemplation, look, sight, view. 2. Thoughtful attention: attentiveness, concern, consideration, solicitude, thoughtfulness. 3. Cautious attentivfeness: care, carefulness, caution, gingerliness, heed, heedfulness, mindfulness. 4. Curiosity about or attention to someone or something: concern, concernment, interest, interestedness. 5. The act of noting, observing, or taking into account: attention, cognizance, espial, heed, mark, note, notice, observance, observation, remark. 6. A feeling of deference, approval, and liking: account, admiration, appreciation, consideration, esteem, estimation, favor, honor, respect. 7. Friendly greetings. Used in plural: best, respect (used in plural). 8. The particular angle from which something is considered: angle, aspect, facet, frame of reference, hand, light, phase, respect, side. 
regardful	pos: adjective Concentrating the mental powers on something: attentive, heedful, intent.  all ears (or eyes). 
regardfulness	pos: noun Concentration of the mental powers on something: attention, attentiveness, concentration, consideration, heedfulness. 
regeneration	pos: noun A fundamental change in one's beliefs: conversion, metanoia, rebirth. 
regime	pos: noun A system by which a political unit is controlled: governance, government, rule. 
regimen	pos: noun The systematic application of remedies to effect a cure: care, rehabilitation, therapy, treatment.  rehab. 
region	pos: noun 1. A part of the earth's surface: area, belt, district, locality, neighborhood, quarter, tract, zone.  neck of the woods. 2. A particular area used for or associated with a specific individual or activity: country, district, terrain, territory.  turf. 
regional	pos: adjective Relating to or restricted to a particular territory: sectional, territorial. 
register	pos: noun A series, as of names or words, printed or written down: catalog, list, roll, roster, schedule. pos: verb 1. To place on a list or in a record: enter, insert, post, record. 2. To give a precise indication of, as on a register or scale: indicate, mark, read, record, show. 3. To come as a realization: dawn on ( upon), sink in, soak in. 
regnant	pos: adjective 1. Exercising controlling power or influence: commanding, controlling, dominant, dominating, dominative, governing, paramount, preponderant, reigning, ruling. 2. Having preeminent significance: ascendant, dominant, predominant, prepotent, prevailing, ruling, supreme. 3. Most generally existing or encountered at a given time: current, predominant, prevailing, prevalent, rife, widespread.  
regression	pos: noun A return to a former, usually worse condition: retrogradation, retrogression, reversion. 
regret	pos: verb To feel or express sorrow for: deplore, repent, rue. pos: noun 1. Unhappiness caused by the failure of one's hopes, desires, or expectations: disappointment, discontent, discontentment, disgruntlement, dissatisfaction, letdown. 2. A statement of acknowledgment expressing regret or asking pardon. Used in plural: apology, excuse, mea culpa. 
regretful	pos: adjective 1. Expressing or inclined to express an apology: apologetic, contrite, penitent, repentant, sorry. 2. Feeling or expressing regret for one's sins or misdeeds: compunctious, contrite, penitent, penitential, remorseful, repentant, sorry. 
regrettable	pos: adjective Causing sorrow or regret: deplorable, doleful, dolorous, grievous, lamentable, mournful, rueful, sad, sorrowful, woeful. 
regular	pos: adjective 1. Commonly practiced or used: accustomed, customary, habitual, usual, wonted. 2. Occurring quite often: common, everyday, familiar, frequent, routine, widespread. 3. Characterized by or displaying symmetry, especially correspondence in scale or measure: balanced, proportional, proportionate, symmetric, symmetrical. 4. Without imperfections or blemishes, as a line or contour: clean, perfect. 5. Arranged or proceeding in a set, systematized pattern: methodic, methodical, orderly, systematic, systematical. 6. Having no change or variation: changeless, constant, equable, even, invariable, invariant, same, steady, unchanging, uniform, unvarying. 
regularity	pos: noun The quality or condition of being usual: cus-tomariness, habitualness, normalcy, normality, ordinariness, prevalence, routineness, usualness. 
regularly	pos: adverb In an expected or customary manner: commonly, consistently, customarily, frequently, generally, habitually, naturally, normally, often, routinely, typically, usually.  as usual, per usual. 
regulate	pos: verb 1. To keep the mechanical operation of (a device) within proper parameters: control, govern. 2. To alter for proper functioning: adjust, fix, set, tune (up).  attune. 
regulation	pos: noun 1. A principle governing affairs within or among political units: canon, decree, edict, institute, law, ordinance, precept, prescription, rule. 2. A code or set of codes governing action or procedure, for example: dictate, prescript, rubric, rule. 
regulatory	pos: adjective Of or relating to government: governmental, gubernatorial. 
rehab	pos: noun  The systematic application of remedies to effect a cure: care, regimen, rehabilitation, therapy, treatment. 
rehabilitate	pos: verb To bring back to a previous normal condition: rebuild, reclaim, recondition, reconstruct, reinstate, rejuvenate, renovate, restitute, restore. 
rehabilitation	pos: noun The systematic application of remedies to effect a cure: care, regimen, therapy, treatment.  rehab. 
rehearsal	pos: noun Repetition of an action so as to develop or maintain one's skill: drill, exercise, practice, study, training. 
rehearse	pos: verb 1. To do or perform repeatedly so as to master: practice. 2. To give a verbal account of: describe, narrate, recite, recount, relate, report, tell. 
reign	pos: noun The act of exercising controlling power or the condition of being so controlled: command, control, dominance, domination, dominion, mastery, rule, sway. pos: verb 1. To exercise the authority of a sovereign: govern, rule.  sway.  wear the crown ( purple). 2. To occupy the preeminent position in: dominate, predominate, preponderate, prevail, rule.  have the ascendancy, reign supreme. 
reigning	pos: adjective Exercising controlling power or influence: commanding, controlling, dominant, dominating, dominative, governing, paramount, preponderant, regnant, ruling. 
reimburse	pos: verb 1. To give back, especially money: refund, repay, restitute. 2. To give compensation to: compensate, indemnify, pay, recompense, redress, remunerate, repay, requite. 
reimbursement	pos: noun Something to make up for loss or damage: amends, compensation, indemnification, indemnity, offset, quittance, recompense, redress, remuneration, reparation, repayment, requital, restitution, satisfaction, setoff. 
rein	pos: verb To control, restrict, or arrest. Also used with  or  bit, brake, bridle, check, constrain, curb, hold, hold back, hold down, hold in, inhibit, keep, keep back, pull in, restrain. 
reinforce	pos: verb To make or become tight or tighter: strengthen, tighten. 
reinstate	pos: verb 1. To bring back into existence or use: reestablish, reintroduce, renew, restore, return, revive. 2. To put (someone) in the possession of a prior position or office: give back, replace, restore, return. 3. To bring back to a previous normal condition: rebuild, reclaim, recondition, reconstruct, rehabilitate, rejuvenate, renovate, restitute, restore. 
reintroduce	pos: verb To bring back into existence or use: reestablish, reinstate, renew, restore, return, revive. 
reinvigorate	pos: verb To impart renewed energy and strength to (a person): freshen, refresh, rejuvenate, renew, restore, revitalize, revivify. 
reinvigorating	pos: adjective Producing or stimulating physical, mental, or emotional vigor: bracing, energizing, exhila-rant, exhilarating, innerving, intoxicating, invigorating, refreshing, renewing, restorative, roborant, stimulating, tonic. 
reiterate	pos: verb To state again: iterate, repeat, restate. 
reiteration	pos: noun The act or process of repeating: iteration, repetition, restatement. 
reiterative	pos: adjective Characterized by repetition: iterative, repetitious, repetitive. 
reject	pos: verb 1. To be unwilling to accept, consider, or receive: decline, dismiss, refuse, spurn, turn down.  nix.  turn thumbs down on. 2. To refuse to recognize or acknowledge: deny, disacknowledge, disavow, disclaim, disown, renounce, repudiate.  turn one's back on. 
rejection	pos: noun 1. A negative response: nay, no, refusal. 2. A refusal to grant the truth of a statement or charge: contradiction, denial, disaffirmance, disaffirmation, disclaimer, negation.  traversal. 3. A turning down of a request: denial, disallowance, refusal, turndown. 
rejoice	pos: verb 1. To feel or take joy or pleasure: delight, exult, joy, pleasure. 2. To show joyful satisfaction in an event, especially by merrymaking: celebrate, revel.  kill the fatted calf, make merry. 
rejoicing	pos: noun The act of showing joyful satisfaction in an event: celebration, festivity, merrymaking, revel (often used in plural), revelry. 
rejoin	pos: verb To speak or act in response, as to a question: answer, reply, respond, retort, return, riposte. 
rejoinder	pos: noun Something spoken or written in return, as to a question or demand: answer, reply, response. 
rejuvenate	pos: verb 1. To impart renewed energy and strength to (a person): freshen, refresh, reinvigorate, renew, restore, revitalize, revivify. 2. To bring back to a previous normal condition: rebuild, reclaim, recondition, reconstruct, rehabilitate, reinstate, renovate, restitute, restore. 3. To make new or as if new again: furbish, recondition, re-create, refresh, refurbish, renew, renovate, restore, revamp.  give a new look to. 
rejuvenation	pos: noun The act of making new or as if new again: face-lift, facelifting, refurbishment, renewal, renovation, restoration, revampment. 
rekindle	pos: verb To rouse from a state of inactivity or quiescence: reactivate, reanimate, reawaken, renew, resurrect, resuscitate, revitalize, revive, revivify. 
relapse	pos: verb To slip from a higher or better condition to a former, usually lower or poorer one: backslide, lapse, regress, retrogress, revert. pos: noun A slipping from a higher or better condition to a lower or poorer one: backslide, backsliding, lapse, recidivation, recidivism. 
relate	pos: verb 1. To give a verbal account of: describe, narrate, recite, recount, rehearse, report, tell. 2. To be pertinent: appertain, apply, bear on ( upon), concern, pertain, refer.  have a bearing on, have to do with. 3. To unite or be united in a relationship: affiliate, ally, associate, bind, combine, conjoin, connect, join, link. 4. To associate or affiliate oneself closely with a person or group: empathize, identify, sympathize. 5. To interact with another or others in a meaningful fashion: communicate, connect.  click.  be on the same wavelength, hit it off. 
related	pos: adjective Connected by or as if by kinship or common origin: agnate, akin, allied, cognate, connate, connatural, consanguine, consanguineous, kindred. 
relation	pos: noun 1. A logical or natural association between two or more things: connection, correlation, interconnection, interdependence, interrelationship, link, linkage, relationship, tie-in.  hookup. 2. A person connected to another person by blood or marriage: kin, kinsman, kinswoman, relative. 
relationship	pos: noun A logical or natural association between two or more things: connection, correlation, interconnection, interdependence, interrelationship, link, linkage, relation, tie-in.  hookup. 
relative	pos: adjective 1. Estimated by comparison: comparative. 2. Determined or to be determined by someone or something else: conditional, conditioned, contingent, dependent, reliant, subject. pos: noun A person connected to another person by blood or marriage: kin, kinsman, kinswoman, relation. 
relax	pos: verb 1. To reduce in tension, pressure, or rigidity: ease, let up, loose, loosen, slack, slacken, untighten. 2. To take repose by ceasing work or other effort for an interval of time: rest, unbend, unwind.  lead (or live) the life of Riley, take it easy. 
relaxation	pos: noun Freedom from labor, responsibility, or strain: ease, leisure, repose, rest. 
relaxed	pos: adjective 1. Not tautly bound, held, or fastened: lax, loose, slack. 2. Unconstrained by rigid standards or ceremony: casual, easy, easygoing, informal, natural, spontaneous, unceremonious, unrestrained.  laid-back. 
release	pos: verb 1. To set at liberty: discharge, emancipate, free, liberate, loose, manumit.  spring.  let loose. 2. To discharge material, as vapor or fumes, usually suddenly and violently: emit, give, give forth, give off, give out, issue, let off, let out, send forth, throw off, vent. 3. To free from or cast out something objectionable or undesirable: clear, disburden, disembarrass, disencumber, relieve, rid, shake off, throw off, unburden.  shake. 4. To end the employment or service of: cashier, discharge, dismiss, drop, terminate.  ax, fire, pink-slip.  boot, bounce, can, sack.  give someone his or her walking papers, give someone the ax, give someone the gate, give someone the pink slip, let go, show someone the door. 
relegate	pos: verb To put in the charge of another for care, use, or performance: commend, commit, confide, consign, entrust, give (over), hand over, trust, turn over.  give in trust ( charge). 
relent	pos: verb To moderate or change a position or course of action as a result of pressure: ease off, slacken, soften, weaken, yield.  give way ( ground). 
relentless	pos: adjective 1. Firmly, often unreasonably immovable in purpose or will: adamant, adamantine, brass-bound, die-hard, grim, implacable, incompli-ant, inexorable, inflexible, intransigent, iron, obdurate, remorseless, rigid, stubborn, unbend-able, unbending, uncompliant, uncompromising, unrelenting, unyielding.  stubborn as a mule ( ox). 2. Existing or occurring without interruption or end: around-the-clock, ceaseless, constant, continual, continuous, endless, eternal, everlasting, incessant, interminable, nonstop, ongoing, perpetual, persistent, round-the-clock, timeless, unceasing, unending, unfailing, uninterrupted, unremitting. 
relentlessness	pos: noun The quality or state of being stubbornly inflexible: die-hardism, grimness, implacability, implacableness, incompliance, incompliancy, inexorability, inexorableness, inflexibility, inflexibleness, intransigence, intransigency, obduracy, obdurateness, remorselessness, rigidity, ngidness, stubbornness. 
relevance	pos: noun The fact of being related to the matter at hand: applicability, application, appositeness, bearing, concernment, germaneness, materiality, pertinence, pertinency, relevancy. 
relevancy	pos: noun The fact of being related to the matter at hand: applicability, application, appositeness, bearing, concernment, germaneness, materiality, pertinence, pertinency, relevance. 
relevant	pos: adjective Related to the matter at hand: applicable, apposite, apropos, germane, material, pertinent.  to the point. 
reliable	pos: adjective Capable of being depended upon: dependable, responsible, solid, sound, trustworthy, trusty. 
reliance	pos: noun Absolute certainty in the trustworthiness of another: belief, confidence, dependence, faith, trust. 
reliant	pos: adjective Determined or to be determined by someone or something else: conditional, conditioned, contingent, dependent, relative, subject. 
relic	pos: noun A mark or remnant that indicates the former presence of something: remains, trace, vestige. 
relief	pos: noun 1. The act or an instance of helping: abetment, aid, assist, assistance, hand, help, succor, support. 2. Freedom, especially from pain: alleviation, assuagement, ease, mitigation, palliation. 3. Assistance, especially money, food, and other necessities, given to the needy or dispossessed: aid, dole, handout, public assistance, welfare. 4. A person or persons taking over the duties of another: replacement. 
relieve	pos: verb 1. To make less severe or more bearable: allay, alleviate, assuage, comfort, ease, lessen, lighten, mitigate, palliate. 2. To free from or cast out something objectionable or undesirable: clear, disburden, disembarrass, disencumber, release, rid, shake off, throw off, unburden.  shake. 3. To give support or assistance: abet, aid, assist, boost, help (out), succor.  give (or lend) a hand, give a leg up. 4. To free from an obligation or duty: absolve, discharge, dispense, excuse, exempt, let off, spare. 5. To free from a specific duty by acting as a substitute: spell, take over. 
reliever	pos: noun A person who helps: abettor, aid, attendant, help, helper, succorer. 
religion	pos: noun A system of religious belief: confession, creed, denomination, faith, persuasion, sect. 
religionism	pos: noun A state of often extreme religious ardour: devotion, devoutness, pietism, piety, piousness, religiosity, religiousness. 
religiosity	pos: noun A state of often extreme religious ardour: devotion, devoutness, pietism, piety, piousness, religionism, religiousness. 
religious	pos: adjective 1. Deeply concerned with God and the beliefs and practice of religion: devotional, devout, godly, holy, pietistic, pietistical, pious, prayerful,  religion.2. In the service or worship of God or a god: divine, holy, sacred. 3. Of or relating to a church or to an established religion: church, churchly, ecclesiastical, spiritual. 
religiousness	pos: noun A state of often extreme religious ardour: devotion, devoutness, pietism, piety, piousness, religionism, religiosity. 
relinquish	pos: verb 1. To give up a possession, claim, or right: abandon, abdicate, cede, demit, forswear, hand over, quitclaim, render, renounce, resign, surrender, waive, yield. 2. To cease trying to accomplish or continue: abandon, break off, desist, discontinue, give up, leave off, quit, remit, stop.  swear off.  lay off.  call it a day, call it quits, hang up one's fiddle, have done with, throw in the towel. 3. To let (something) go: abandon, cede, forgo, lay down, surrender, yield. 
relinquishment	pos: noun A giving up of a possession, claim, or right: abandonment, abdication, demission, quitclaim, renunciation, resignation, surrender, waiver. 
relish	pos: noun 1. A liking for something: appetite, fondness, partiality, preference, taste, weakness. 2. Spirited enjoyment: gusto, zest. 3. A distinctive property of a substance affecting the gustatory sense: flavor, sapor, savor, smack, tang, taste, zest. pos: verb 1. To receive pleasure from: enjoy, like, savor.  go for.  dig. 2. To be avidly interested in: devour, feast on.  eat up. 
relocate	pos: verb To change one's residence or place of business, for example: move, remove, transfer. 
relocation	pos: noun The act or process of moving from one place to another: move, remotion, removal. 
reluctance	pos: noun The state of not being disposed or inclined: averseness, disinclination, indisposition, unwillingness. 
reluctant	pos: adjective Not inclined or willing to do or undertake: averse, disinclined, indisposed, loath, unwilling. 
rely on	pos: verb To place trust or confidence in: bank on ( upon), believe in, count on ( upon), depend on ( upon), reckon on ( upon), trust (in). 
remain	pos: verb 1. To continue to be in a place: abide, bide, linger, stay, tarry, wait.  stick around.  stay put. 2. To be in existence or in a certain state for an indefinitely long time: abide, continue, endure, go on, hold out, last, persist, stay. 
remainder	pos: noun What remains after a part has been used or subtracted: balance, leavings, leftover, remains, remnant, residue, rest. 
remaining	pos: adjective Being what remains, especially after a part has been removed: leftover. 
remains	pos: noun 1. What remains after a part has been used or subtracted: balance, leavings, leftover, remainder, remnant, residue, rest. 2. A mark or remnant that indicates the former presence of something: relic, trace, vestige. 3. The physical frame of a dead person or animal: body, cadaver, carcass, corpse.  stiff. 
remark	pos: verb 1. To state facts, opinions, or explanations: comment, note, observe. 2. To perceive with a special effort of the senses or the mind: descry, detect, discern, distinguish, mark, mind, note, notice, observe, see. pos: noun 1. The act of noting, observing, or taking into account: attention, cognizance, espial, heed, mark, note, notice, observance, observation, regard. 2. An expression of fact or opinion: comment, note, obiter dictum, observation. 
remarkable	pos: adjective 1. Readily attracting notice: arresting, bold, conspicuous, eye-catching, marked, noticeable, observable, outstanding, pointed, prominent, pronounced, salient, signal, striking.  sticking out like a sore thumb. 2. Far beyond what is usual, normal, or customary: exceptional, extraordinary, magnificent, outstanding, preeminent, rare, singular, towering, uncommon, unusual.  standout.  awesome, out of sight. 
remarkably	pos: adverb In a manner or to a degree that is unusual: exceptionally, extraordinarily, singularly, uncommonly, unusually. 
remedial	pos: adjective 1. Serving to cure: curative, restorative, therapeutic. 2. Tending to correct: amendatory, corrective, emendatory, reformative, reformatory. 
remedy	pos: noun 1. An agent used to restore health: cure, elixir, medicament, medication, medicine, nostrum, physic. 2. Something that corrects or counteracts: antidote, corrective, counter-measure, curative, cure. pos: verb 1. To rectify (an undesirable or unhealthy condition): cure, heal. 2. To make right what is wrong: amend, correct, emend, mend, rectify, redress, reform, right. 
remember	pos: verb 1. To renew an image or thought in the mind: bethink, mind, recall, recollect, reminisce, retain, revive, think.  bring to mind. 2. To care enough to keep (someone) in mind: think about, think of. 
remembrance	pos: noun 1. An act or instance of remembering: memory, recollection, reminiscence. 2. The power of retaining and recalling past experience: memory, recall, recollection, reminiscence. 3. Something, as a structure or custom, serving to honor or keep alive a memory: commemoration, memorial, monument. 4. Something that causes one to remember: keepsake, memento, reminder, souvenir, token, trophy. 
reminder	pos: noun Something that causes one to remember: keepsake, memento, remembrance, souvenir, token, trophy. 
reminisce	pos: verb To renew an image or thought in the mind: bethink, mind, recall, recollect, remember, retain, revive, think.  bring to mind. 
reminiscence	pos: noun 1. An act or instance of remembering: memory, recollection, remembrance. 2. The power of retaining and recalling past experience: memory, recall, recollection, remembrance. 3. A narrative of experiences undergone by the writer. Often used in plural: commentary (often used in plural), memoir. 
reminiscent	pos: adjective Tending to bring a memory, mood, or image, for example, subtly or indirectly to mind: allusive, connotative, evocative, impressionistic, suggestive. 
remiss	pos: adjective Guilty of neglect; lacking due care or concern: derelict, lax, neglectful, negligent, slack. 
remission	pos: noun 1. The act or process of becoming less active or intense: abatement, ebb, letup, slackening, subsidence, wane. 2. The act or an instance of forgiving: absolution, amnesty, condonation, excuse, forgiveness, pardon. 
remissness	pos: noun The state or quality of being negligent: laxity, laxness, negligence, slackness. 
